Site #,Type,Height/Depth (cm),2018-2019,2019-2020,2020-2021,2021 -2022,2022-2023
1,Exposed,50,,,,3,3
,,100,,,,4,4
,,150,2,2,,5,5
,,163,,,2,,
,,190,,,4,,
,,200,,,,6,6
,,230,,,,7,7
,Buried,,3,3,1,1,1
,Shaded,,1,1,3,2,2
2,Buried,,5,5,6,8,8
,Shaded,,4,4,5,9,9
3,Buried,,7,7,8,10,10
,Shaded,,6,6,7,11,11
4,Buried,,8,8,9,12,12
5 west,Buried,,11,9 or 10,12,13,13
5 ridge,Buried,,10,9 or 10,10,14,14
5 east,Buried,,9,11,11,15,15
6,Buried,,12,12,13,16,16
7,Buried,,14,14,14,N/A,17
8,Buried,,15,15,N/A,N/A,"18,19"
9,Buried,,16,16,N/A,N/A,N/A
